# HTM
#
company	ovcid	city    	name
# List extracted from http://haltetijden.htm.net/index.php, using (e.g.)
# http://haltetijden.htm.net/index.php?rs=aanvullen&rsargs[]=2881
# It seems that: ovcid = 3abcd, with abcd = HTM-haltenummer. The list below
# was actually verified to match the OVC records for only a few of the stations.
# Note that the city is filled in by hand, and may contain errors
#
# tram and bus
3	33008	Den Haag	Paul Krugerplein
3	33101	Den Haag	Kamperfoeliestraat
3	33102	Den Haag	Kamperfoeliestraat
3	33103	Den Haag	Valkenboslaan
3	33104	Den Haag	Valkenboslaan
3	33107	Den Haag	Fahrenheitstraat
3	33108	Den Haag	Fahrenheitstraat
3	33109	Den Haag	Tienhovenselaan
3	33110	Den Haag	Tienhovenselaan
3	33115	Den Haag	Nunspeetlaan
3	33116	Den Haag	Nunspeetlaan
3	33203	Den Haag	Nieuwendamlaan
3	33204	Den Haag	Nieuwendamlaan
3	33205	Den Haag	Laan van Eik en Duinen
3	33206	Den Haag	Laan van Eik en Duinen
3	33213	Den Haag	Monnickendamplein
3	33214	Den Haag	Monnickendamplein
3	33215	Den Haag	Leyenburg
3	33216	Den Haag	Leyenburg
3	33327	Den Haag	De Dreef
3	33328	Den Haag	De Dreef
3	33330	Den Haag	Beresteinlaan
3	33331	Den Haag	Beresteinlaan
3	33333	Den Haag	Vrederustlaan
3	33334	Den Haag	Vrederustlaan
3	33335	Den Haag	Revalidatiecentrum
3	33336	Den Haag	Revalidatiecentrum
3	33417	Den Haag	Leggelostraat
3	33418	Den Haag	Leggelostraat
3	33422	Den Haag	Leyweg
3	33423	Den Haag	Leyweg
3	33424	Den Haag	Loevesteinlaan
3	33425	Den Haag	Loevesteinlaan
3	33603	Den Haag	Zuiderpark
3	33604	Den Haag	Zuiderpark
3	33605	Den Haag	Moerweg
3	33606	Den Haag	Moerweg
3	33607	Den Haag	Anna Bijnslaan
3	33608	Den Haag	Anna Bijnslaan
3	33609	Den Haag	Hardenbroekstraat
3	33610	Den Haag	Hardenbroekstraat
3	33614	Den Haag	Remmersteinstraat
3	33616	Den Haag	Geysterenweg
3	33617	Den Haag	Geysterenweg
3	33618	Den Haag	Erasmusplein
3	33619	Den Haag	Erasmusplein
3	33620	Den Haag	Heeswijkplein
3	33621	Den Haag	Heeswijkplein
3	33626	Den Haag	Station Moerwijk
3	33627	Den Haag	Station Moerwijk
3	33701	Den Haag	Dynamostraat
3	33702	Den Haag	Dynamostraat
3	33801	Den Haag	Goudriaankade
3	33802	Den Haag	Goudriaankade
3	33805	Den Haag	Laakkade
3	33806	Den Haag	Laakkade
3	33809	Den Haag	Oudemansstraat
3	33810	Den Haag	Oudemansstraat
3	33813	Den Haag	Van Musschenbroekstraat
3	33814	Den Haag	Van Musschenbroekstraat
3	33815	Den Haag	Broeksloot
3	33817	Den Haag	Van Zeggelenlaan
3	33818	Den Haag	Van Zeggelenlaan
3	33821	Den Haag	Jonckbloetplein
3	33822	Den Haag	Jonckbloetplein
3	33823	Den Haag	Lorentzplein
3	33824	Den Haag	Lorentzplein
3	33827	Den Haag	Wenckebachstraat
3	33828	Den Haag	Wenckebachstraat
3	33837	Den Haag	Broeksloot
3	33838	Den Haag	Broeksloot
3	33839	Den Haag	Leeghwaterplein
3	33840	Den Haag	Leeghwaterplein
3	33841	Den Haag	Alberdingk Thijmstraat
3	33842	Den Haag	Alberdingk Thijmstraat
3	34005	Den Haag	Lage Veld
3	34006	Den Haag	Lage Veld
3	35101	Den Haag	Herenstraat
3	35102	Den Haag	Herenstraat
3	35103	Den Haag	Herenstraat
3	35104	Den Haag	Herenstraat
3	35105	Den Haag	Bilderdijklaan
3	35106	Den Haag	Geestbrug
3	35107	Den Haag	Hoornbrug
3	35108	Den Haag	Hoornbrug
3	35215	Den Haag	Van Vredenburchweg
3	35216	Den Haag	Van Vredenburchweg
3	35217	Den Haag	Generaal Spoorlaan
3	35218	Den Haag	Generaal Spoorlaan
3	35411	Den Haag	Rijswijk Station
3	35412	Den Haag	Rijswijk Station
3	35413	Den Haag	In de Bogaard
3	35414	Den Haag	In de Bogaard
3	35613	Den Haag	Weidedreef
3	35614	Den Haag	Weidedreef
3	35615	Den Haag	Aletta Jacobsstraat
3	35616	Den Haag	Aletta Jacobsstraat
3	35617	Den Haag	Eikelenburg
3	35618	Den Haag	Eikelenburg
3	35703	Den Haag	Admiraal Helfrichsingel
3	35704	Den Haag	Admiraal Helfrichsingel
3	35839	Den Haag	Handelskade
3	35840	Den Haag	Handelskade
3	35841	Den Haag	Patentlaan
3	35842	Den Haag	Patentlaan
3	35843	Den Haag	Volmerlaan
3	35844	Den Haag	Volmerlaan
3	35847	Den Haag	Treubstraat
3	35901	Den Haag	Broekpolder
3	35902	Den Haag	Broekpolder
3	35905	Den Haag	`s-Gravenmade
3	35906	Den Haag	`s-Gravenmade
3	35907	Den Haag	Verffabriek
3	35908	Den Haag	Verffabriek
3	35911	Den Haag	Vlietbrug
3	35912	Den Haag	Vlietbrug
3	35934	Den Haag	Broekpolder
3	35935	Den Haag	Broekpolder
3	35936	Den Haag	Laan van `s-Gravenmade
3	35937	Den Haag	Laan van `s-Gravenmade
3	35938	Den Haag	Laan van Ypenburg
3	35939	Den Haag	Laan van Ypenburg
3	35940	Den Haag	Plesmanlaan
3	35941	Den Haag	Plesmanlaan
3	37101	Den Haag	Binckhorstlaan
3	37102	Den Haag	Binckhorstlaan
3	37103	Den Haag	Diaconessenhuis
3	37104	Den Haag	Diaconessenhuis
3	37105	Den Haag	Redenburgstraat
3	37106	Den Haag	Laan van Middenburg
3	37113	Voorburg	Voorburg Station
3	37411	Voorburg	Bruijnings Ingenhoeslaan
3	37412	Voorburg	Bruijnings Ingenhoeslaan
3	37505	Voorburg	Mgr. van Steelaan
3	37506	Voorburg	Mgr. van Steelaan
3	37601	Voorburg	Voorburg `t Loo
3	37602	Voorburg	Voorburg `t Loo
3	37603	Den Haag	Prinses Beatrixlaan
3	37604	Den Haag	Prinses Beatrixlaan
3	37701	Den Haag	Station Mariahoeve
